14:15:18 [INFO] mysql: [MySQL] 创建连接池...
14:15:19 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:15:40 [INFO] mysql: [MySQL] 创建连接池...
14:15:40 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:15:53 [INFO] mysql: [MySQL] 创建连接池...
14:15:53 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:16:15 [INFO] mysql: [MySQL] 创建连接池...
14:16:15 [INFO] mysql: [MySQL] 连接池就绪，表结构已检查
14:16:15 [INFO] migrate: [迁移] scan_results.json 不存在，跳过
14:16:15 [INFO] migrate: [迁移] backtest_results.json 不存在，跳过
14:16:15 [INFO] migrate: [迁移] schedule_config: enabled=True
14:16:15 [INFO] migrate: [迁移] 全部完成
14:16:15 [INFO] web_app: [App] MySQL 就绪，已恢复扫描数据
14:16:15 [INFO] web_app: [App] 调度器已启动
14:16:15 [INFO] web_app: [调度器] 启动
14:28:16 [DEBUG] strategies: [主力建仓] 002203 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002203 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 301235 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 301235 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 688269 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 688269 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002015 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002015 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600983 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600983 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002006 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 002006 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 300083 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 300083 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 601069 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 601069 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 001696 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 001696 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 300611 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 300611 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600685 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600685 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 300602 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 300602 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600666 验证通过 | 验证通过 | 来源: cache
14:28:16 [DEBUG] strategies: [主力建仓] 600666 验证通过 | 验证通过 | 来源: cache
